============================================================
Masking Check Log
============================================================
Token (解碼後)                    | Label ID
------------------------------------------------------------
'<|im_start|>'                 | -100  (不計算 Loss)
'system'                       | -100  (不計算 Loss)
'\n'                           | -100  (不計算 Loss)
'You'                          | -100  (不計算 Loss)
' are'                         | -100  (不計算 Loss)
' a'                           | -100  (不計算 Loss)
' helpful'                     | -100  (不計算 Loss)
' assistant'                   | -100  (不計算 Loss)
'.'                            | -100  (不計算 Loss)
'<|im_end|>'                   | -100  (不計算 Loss)
'\n'                           | -100  (不計算 Loss)
'<|im_start|>'                 | -100  (不計算 Loss)
'user'                         | -100  (不計算 Loss)
'\n'                           | -100  (不計算 Loss)
'###'                          | -100  (不計算 Loss)
' Instruction'                 | -100  (不計算 Loss)
':\n'                          | -100  (不計算 Loss)
'What'                         | -100  (不計算 Loss)
' is'                          | -100  (不計算 Loss)
' algebra'                     | -100  (不計算 Loss)
' and'                         | -100  (不計算 Loss)
' who'                         | -100  (不計算 Loss)
' invented'                    | -100  (不計算 Loss)
' it'                          | -100  (不計算 Loss)
'?\n\n'                        | -100  (不計算 Loss)
'###'                          | -100  (不計算 Loss)
' Constraints'                 | -100  (不計算 Loss)
':\n'                          | -100  (不計算 Loss)
'-'                            | -100  (不計算 Loss)
' The'                         | -100  (不計算 Loss)
' term'                        | -100  (不計算 Loss)
" '"                           | -100  (不計算 Loss)
'equ'                          | -100  (不計算 Loss)
'ation'                        | -100  (不計算 Loss)
"'"                            | -100  (不計算 Loss)
' must'                        | -100  (不計算 Loss)
' be'                          | -100  (不計算 Loss)
' used'                        | -100  (不計算 Loss)
' to'                          | -100  (不計算 Loss)
' mean'                        | -100  (不計算 Loss)
' a'                           | -100  (不計算 Loss)
' statement'                   | -100  (不計算 Loss)
' where'                       | -100  (不計算 Loss)
' two'                         | -100  (不計算 Loss)
' expressions'                 | -100  (不計算 Loss)
' are'                         | -100  (不計算 Loss)
' equal'                       | -100  (不計算 Loss)
','                            | -100  (不計算 Loss)
' but'                         | -100  (不計算 Loss)
' only'                        | -100  (不計算 Loss)
' if'                          | -100  (不計算 Loss)
' they'                        | -100  (不計算 Loss)
' involve'                     | -100  (不計算 Loss)
' at'                          | -100  (不計算 Loss)
' least'                       | -100  (不計算 Loss)
' one'                         | -100  (不計算 Loss)
' variable'                    | -100  (不計算 Loss)
'.'                            | -100  (不計算 Loss)
'<|im_end|>'                   | -100  (不計算 Loss)
'\n'                           | -100  (不計算 Loss)
'<|im_start|>'                 | -100  (不計算 Loss)
'assistant'                    | -100  (不計算 Loss)
'\n'                           | -100  (不計算 Loss)
'Al'                           | 2101  <--- 模型學習預測目標
'gebra'                        | 26083 <--- 模型學習預測目標
' is'                          | 374   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' study'                       | 3920  <--- 模型學習預測目標
' of'                          | 315   <--- 模型學習預測目標
' variables'                   | 7332  <--- 模型學習預測目標
' and'                         | 323   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' rules'                       | 5601  <--- 模型學習預測目標
' for'                         | 369   <--- 模型學習預測目標
' manipulating'                | 62514 <--- 模型學習預測目標
' these'                       | 1493  <--- 模型學習預測目標
' variables'                   | 7332  <--- 模型學習預測目標
' in'                          | 304   <--- 模型學習預測目標
' equations'                   | 37906 <--- 模型學習預測目標
'.'                            | 13    <--- 模型學習預測目標
' The'                         | 576   <--- 模型學習預測目標
' term'                        | 4647  <--- 模型學習預測目標
" '"                           | 364   <--- 模型學習預測目標
'al'                           | 278   <--- 模型學習預測目標
'gebra'                        | 26083 <--- 模型學習預測目標
"'"                            | 6     <--- 模型學習預測目標
' originates'                  | 98870 <--- 模型學習預測目標
' from'                        | 504   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' Arabic'                      | 34117 <--- 模型學習預測目標
" '"                           | 364   <--- 模型學習預測目標
'al'                           | 278   <--- 模型學習預測目標
'-j'                           | 13333 <--- 模型學習預測目標
'abr'                          | 77571 <--- 模型學習預測目標
",'"                           | 2894  <--- 模型學習預測目標
' meaning'                     | 7290  <--- 模型學習預測目標
" '"                           | 364   <--- 模型學習預測目標
'rest'                         | 3927  <--- 模型學習預測目標
'oring'                        | 5503  <--- 模型學習預測目標
"'"                            | 6     <--- 模型學習預測目標
' or'                          | 476   <--- 模型學習預測目標
" '"                           | 364   <--- 模型學習預測目標
'bal'                          | 13313 <--- 模型學習預測目標
'ancing'                       | 8974  <--- 模型學習預測目標
".'"                           | 3159  <--- 模型學習預測目標
' It'                          | 1084  <--- 模型學習預測目標
' comes'                       | 4041  <--- 模型學習預測目標
' from'                        | 504   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' title'                       | 2265  <--- 模型學習預測目標
' of'                          | 315   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' book'                        | 2311  <--- 模型學習預測目標
' "'                           | 330   <--- 模型學習預測目標
'ʿ'                            | 145657 <--- 模型學習預測目標
'Il'                           | 12050 <--- 模型學習預測目標
'm'                            | 76    <--- 模型學習預測目標
' al'                          | 452   <--- 模型學習預測目標
'-j'                           | 13333 <--- 模型學習預測目標
'abr'                          | 77571 <--- 模型學習預測目標
' wa'                          | 10450 <--- 模型學習預測目標
' l'                           | 326   <--- 模型學習預測目標
'-m'                           | 1448  <--- 模型學習預測目標
'u'                            | 84    <--- 模型學習預測目標
'q'                            | 80    <--- 模型學習預測目標
'ā'                            | 30657 <--- 模型學習預測目標
'b'                            | 65    <--- 模型學習預測目標
'ala'                          | 6053  <--- 模型學習預測目標
'"'                            | 1     <--- 模型學習預測目標
' ('                           | 320   <--- 模型學習預測目標
'The'                          | 785   <--- 模型學習預測目標
' Science'                     | 9965  <--- 模型學習預測目標
' of'                          | 315   <--- 模型學習預測目標
' Rest'                        | 9063  <--- 模型學習預測目標
'oring'                        | 5503  <--- 模型學習預測目標
' and'                         | 323   <--- 模型學習預測目標
' Bal'                         | 19420 <--- 模型學習預測目標
'ancing'                       | 8974  <--- 模型學習預測目標
')'                            | 8     <--- 模型學習預測目標
' written'                     | 5326  <--- 模型學習預測目標
' by'                          | 553   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' Persian'                     | 49861 <--- 模型學習預測目標
' mathematic'                  | 20976 <--- 模型學習預測目標
'ian'                          | 1103  <--- 模型學習預測目標
' and'                         | 323   <--- 模型學習預測目標
' astronom'                    | 45282 <--- 模型學習預測目標
'er'                           | 261   <--- 模型學習預測目標
' al'                          | 452   <--- 模型學習預測目標
'-K'                           | 15843 <--- 模型學習預測目標
'h'                            | 71    <--- 模型學習預測目標
'war'                          | 11455 <--- 模型學習預測目標
'iz'                           | 449   <--- 模型學習預測目標
'mi'                           | 8155  <--- 模型學習預測目標
' in'                          | 304   <--- 模型學習預測目標
' the'                         | 279   <--- 模型學習預測目標
' early'                       | 4124  <--- 模型學習預測目標
' '                            | 220   <--- 模型學習預測目標
'9'                            | 24    <--- 模型學習預測目標
'th'                           | 339   <--- 模型學習預測目標
' century'                     | 9294  <--- 模型學習預測目標
'.'                            | 13    <--- 模型學習預測目標
' Al'                          | 1674  <--- 模型學習預測目標
'-K'                           | 15843 <--- 模型學習預測目標
'h'                            | 71    <--- 模型學習預測目標
'war'                          | 11455 <--- 模型學習預測目標
'iz'                           | 449   <--- 模型學習預測目標
'mi'                           | 8155  <--- 模型學習預測目標
' used'                        | 1483  <--- 模型學習預測目標
" '"                           | 364   <--- 模型學習預測目標
'al'                           | 278   <--- 模型學習預測目標
'-j'                           | 13333 <--- 模型學習預測目標
'abr'                          | 77571 <--- 模型學習預測目標
